"","lnL0","lnL1A","lnL1B","lnL1C","our_LRT","our_results.qvals.bh.pvalues","our_results.qvals.bh.qvalues"
"knownGene.uc001bqj.1.1.inc",-783.51,-783.51,-784.02,-783.51,0,1,1
"knownGene.uc001bsz.1.1",-2288.284,-2288.467,-2288.467,-2288.467,0,1,1
"knownGene.uc001btf.1.1",-683.483,-683.483,-683.483,-683.483,0,1,1
"knownGene.uc001bti.1.1",-1442.681,-1442.595,-1442.595,-1442.595,0.172000000000025,0.3391702134777,1
"knownGene.uc001bue.1.1",-2773.254,-2773.254,-2773.254,-2773.254,0,1,1
"knownGene.uc001bvj.1.1.inc",-2130.24,-2130.24,-2130.24,-2130.24,0,1,1
"knownGene.uc001bvx.1.1",-1221.251,-1221.251,-1221.251,-1221.251,0,1,1
"knownGene.uc001bwm.1.1.inc",-1896.616,-1896.616,-1896.616,-1896.616,0,1,1
"knownGene.uc001bwu.1.1.inc",-1998.267,-1995.596,-1995.596,-1995.596,5.3420000000001,0.0104087879813215,0.370150430592272
"knownGene.uc001bxk.1.1.inc",-2932.293,-2932.293,-2932.293,-2932.293,0,1,1
"knownGene.uc001byo.1.1.inc",-5469.166,-5468.634,-5468.634,-5468.634,1.06400000000031,0.151152323733442,1
"knownGene.uc001bzn.1.1",-1347.358,-1347.358,-1347.358,-1347.358,0,1,1
"knownGene.uc001bzs.1.1.inc",-2198.309,-2198.309,-2198.309,-2198.309,0,1,1
"knownGene.uc001bzu.1.1",-1460.237,-1459.48,-1460.249,-1459.48,1.51400000000012,0.109264867498123,0.919285595854924
"knownGene.uc001cau.1.1",-2033.122,-2034.982,-2033.122,-2034.982,0,1,1
"knownGene.uc001cbd.1.1.inc",-787.957,-788.095,-787.957,-788.095,0,1,1
"knownGene.uc001cbq.1.1.inc",-834.26,-833.89,-833.89,-833.89,0.740000000000009,0.194830439057306,1
"knownGene.uc001ccr.1.1.inc",-1362.072,-1362.072,-1362.072,-1362.072,0,1,1
"knownGene.uc001cde.1.1",-2004.019,-2018.38,-2018.38,-2018.38,0,1,1
"knownGene.uc001cem.1.1",-2883.797,-2883.797,-2883.797,-2883.797,0,1,1
"knownGene.uc001cex.1.1",-1378.615,-1386.027,-1386.027,-1388.361,0,1,1
"knownGene.uc001cfd.1.1",-9997.058,-9997.058,-9997.058,-9997.058,0,1,1
"knownGene.uc001chp.1.1.inc",-1865.209,-1864.843,-1864.843,-1864.843,0.731999999999971,0.196117838925776,1
"knownGene.uc001chu.1.1.inc",-1127.037,-1127.037,-1127.037,-1127.037,0,1,1
"knownGene.uc001chy.1.1.inc",-1347.952,-1347.952,-1347.952,-1347.952,0,1,1
"knownGene.uc001cjl.1.1.inc",-2803.95,-2803.95,-2803.95,-2803.95,0,1,1
"knownGene.uc001cmf.1.1",-2838.19,-2838.19,-2838.19,-2838.19,0,1,1
"knownGene.uc001cms.1.1.inc",-5936.024,-5936.024,-5936.024,-5936.024,0,1,1
"knownGene.uc001cno.1.1.inc",-2814.433,-2814.433,-2814.433,-2814.433,0,1,1
"knownGene.uc001cpz.1.1.inc",-1717.671,-1717.671,-1717.671,-1717.671,0,1,1
"knownGene.uc001cqg.1.1",-640.974,-640.974,-641.31,-640.974,0,1,1
"knownGene.uc001cqj.1.1",-1878.886,-1878.134,-1878.134,-1878.134,1.50399999999991,0.110028460450999,0.920201503106039
"knownGene.uc001cqs.1.1.inc",-3142.378,-3140.171,-3140.171,-3140.171,4.41400000000067,0.0178225827667242,0.465097586354964
"knownGene.uc001cro.1.1.inc",-3820.064,-3820.064,-3820.064,-3820.064,0,1,1
"knownGene.uc001csh.1.1.inc",-1535.488,-1535.488,-1535.488,-1535.488,0,1,1
"knownGene.uc001csj.1.1",-1538.467,-1538.222,-1538.222,-1538.222,0.490000000000236,0.24196365222302,1
"knownGene.uc001ctr.1.1.inc",-2102.173,-2102.173,-2102.173,-2102.173,0,1,1
"knownGene.uc001cuk.1.1.inc",-3353.855,-3353.855,-3353.855,-3353.855,0,1,1
"knownGene.uc001cvh.1.1.inc",-2585.001,-2585.001,-2585.001,-2585.001,0,1,1
"knownGene.uc001cwq.1.1",-2159.522,-2159.522,-2159.522,-2159.522,0,1,1
"knownGene.uc001cwy.1.1",-1344.466,-1344.466,-1344.466,-1344.466,0,1,1
"knownGene.uc001cxk.1.1.inc",-1212.246,-1212.242,-1212.242,-1212.242,0.00800000000026557,0.464365037281811,1
"knownGene.uc001cyb.1.1.inc",-3131.418,-3130.794,-3130.794,-3130.794,1.2480000000005,0.131967405245177,0.975579751604476
"knownGene.uc001cyh.1.1.inc",-6981.818,-6981.818,-6981.818,-7037.351,0,1,1
"knownGene.uc001dai.1.1",-2864.01,-2875.858,-2864.01,-2864.01,0,1,1
"knownGene.uc001dar.1.1.inc",-1102.524,-1102.524,-1102.524,-1102.524,0,1,1
"knownGene.uc001dcc.1.1.inc",-3336.023,-3336.023,-3336.023,-3336.023,0,1,1
"knownGene.uc001dcz.1.1.inc",-2193.738,-2188.619,-2188.619,-2188.619,10.2379999999994,0.00068788337452314,0.136641979103553
"knownGene.uc001dda.1.1",-600.428,-600.428,-600.428,-600.428,0,1,1
"knownGene.uc001ddt.1.1",-2066.607,-2065.805,-2065.805,-2065.805,1.60400000000027,0.102668636162115,0.904353750945485
"knownGene.uc001deg.1.1",-2868.9,-2868.9,-2868.9,-2868.9,0,1,1
"knownGene.uc001dem.1.1.inc",-4768.815,-4768.815,-4768.815,-4768.815,0,1,1
"knownGene.uc001deq.1.1",-4763.434,-4766.418,-4763.434,-4766.417,0,1,1
"knownGene.uc001dev.1.1.inc",-1500.396,-1510.138,-1500.396,-1500.396,0,1,1
"knownGene.uc001dfy.1.1.inc",-1913.147,-1912.535,-1912.535,-1912.535,1.22399999999971,0.134288538246041,0.983617271716408
"knownGene.uc001dga.1.1.inc",-1212.923,-1212.923,-1214.936,-1212.923,0,1,1
"knownGene.uc001dhg.1.1.inc",-1277.941,-1277.941,-1277.941,-1277.941,0,1,1
"knownGene.uc001dhy.1.1.inc",-949.894,-949.894,-949.894,-949.894,0,1,1
"knownGene.uc001dib.1.1.inc",-2097.422,-2097.422,-2097.422,-2097.422,0,1,1
"knownGene.uc001dis.1.1",-2538.726,-2538.726,-2538.726,-2538.726,0,1,1
"knownGene.uc001dkc.1.1.inc",-1888.585,-1888.585,-1888.585,-1888.585,0,1,1
"knownGene.uc001dkk.1.1.inc",-2789.645,-2789.651,-2789.645,-2789.645,0,1,1
"knownGene.uc001dku.1.1.inc",-5644.288,-5644.288,-5644.288,-5644.366,0,1,1
"knownGene.uc001dly.1.1.inc",-2014.288,-2014.288,-2014.288,-2014.288,0,1,1
"knownGene.uc001doj.1.1",-6649.044,-6649.044,-6649.044,-6650.811,0,1,1
"knownGene.uc001dpg.1.1.inc",-2069.97,-2069.97,-2069.97,-2069.97,0,1,1
"knownGene.uc001dpr.1.1.inc",-1174.941,-1174.941,-1174.941,-1174.941,0,1,1
"knownGene.uc001drn.1.1",-2901.808,-2901.808,-2901.813,-2901.808,0,1,1
"knownGene.uc001drw.1.1.inc",-944.113,-944.113,-944.113,-944.113,0,1,1
"knownGene.uc001duf.1.1",-2827.135,-2827.135,-2827.135,-2827.135,0,1,1
"knownGene.uc001dvl.1.1.inc",-2212.461,-2211.465,-2211.465,-2211.465,1.99199999999928,0.0790659593965674,0.820330767448551
"knownGene.uc001dwl.1.1.inc",-1975.33,-1975.33,-1975.33,-1975.33,0,1,1
"knownGene.uc001dxq.1.1.inc",-767.185,-771.378,-767.185,-767.185,0,1,1
"knownGene.uc001dyy.1.1",-2646.446,-2646.446,-2646.446,-2646.446,0,1,1
"knownGene.uc001dyz.1.1.inc",-3556.072,-3556.072,-3556.072,-3556.072,0,1,1
"knownGene.uc001dzk.1.1",-5682.815,-5682.815,-5682.815,-5682.815,0,1,1
"knownGene.uc001dzp.1.1.inc",-1739.376,-1737.775,-1737.775,-1737.775,3.20199999999977,0.0367741385382785,0.597699742428569
"knownGene.uc001eag.1.1.inc",-824.67,-824.67,-824.67,-824.67,0,1,1
"knownGene.uc001ebu.1.1",-3854.06,-3854.06,-3854.06,-3874.132,0,1,1
"knownGene.uc001efi.1.1",-4573.156,-4573.157,-4573.156,-4573.156,0,1,1
"knownGene.uc001egh.1.1",-996.895,-1001.583,-996.895,-996.895,0,1,1
"knownGene.uc001egs.1.1.inc",-3524.104,-3524.105,-3524.105,-3524.105,0,1,1
"knownGene.uc001eie.1.1",-3018.909,-3018.909,-3018.909,-3018.909,0,1,1
"knownGene.uc001esi.1.1",-733.189,-733.189,-733.189,-733.189,0,1,1
"knownGene.uc001eto.1.1.inc",-1021.108,-1021.108,-1021.108,-1021.108,0,1,1
"knownGene.uc001evu.1.1",-8749.311,-8748.599,-8748.599,-8749.351,1.42399999999907,0.116373071566469,0.941603625514131
"knownGene.uc001ewj.1.1.inc",-965.876,-965.876,-965.876,-965.876,0,1,1
"knownGene.uc001ewt.1.1",-1248.163,-1248.163,-1248.163,-1248.163,0,1,1
"knownGene.uc001ewv.1.1.inc",-5663.413,-5663.413,-5663.413,-5663.413,0,1,1
"knownGene.uc001exb.1.1",-1080.636,-1080.877,-1080.636,-1080.636,0,1,1
"knownGene.uc001ext.1.1",-4892.102,-4892.102,-4892.102,-4892.102,0,1,1
"knownGene.uc001ezd.1.1",-3732.808,-3732.808,-3732.808,-3732.808,0,1,1
"knownGene.uc001fcn.1.1",-1228.59,-1228.59,-1228.59,-1228.59,0,1,1
"knownGene.uc001fiy.1.1",-2970.939,-2970.939,-2970.939,-2970.939,0,1,1
"knownGene.uc001fkm.1.1.inc",-2260.132,-2260.132,-2260.132,-2260.132,0,1,1
"knownGene.uc001fqg.1.1",-9447.526,-9447.526,-9447.529,-9447.526,0,1,1
"knownGene.uc001fqp.1.1.inc",-929.637,-929.528,-929.528,-929.528,0.217999999999847,0.320284030821553,1
"knownGene.uc001fsq.1.1",-2562.894,-2561.863,-2561.863,-2561.863,2.0619999999999,0.0755059265447844,0.805228197689417
"knownGene.uc001fss.1.1",-2579.457,-2579.457,-2579.457,-2579.457,0,1,1
"knownGene.uc001fsx.1.1.inc",-1965.243,-1965.243,-1965.243,-1965.243,0,1,1
"knownGene.uc001fsy.1.1",-2473.098,-2473.098,-2473.098,-2473.098,0,1,1
"knownGene.uc001fup.1.1",-2605.662,-2605.641,-2605.641,-2605.641,0.0419999999994616,0.418809886142355,1
"knownGene.uc001fvp.1.1.inc",-1395.349,-1395.349,-1395.349,-1395.349,0,1,1
"knownGene.uc001fwi.1.1",-1861.811,-1860.662,-1860.662,-1860.671,2.29799999999977,0.0647703520116553,0.761170991822475
"knownGene.uc001fwm.1.1.inc",-1230.391,-1230.858,-1230.858,-1230.345,0.0920000000000982,0.380824901214279,1
"knownGene.uc001fws.1.1",-2564.436,-2564.436,-2570.117,-2563.262,2.34799999999996,0.0627219284447855,0.753766290832686
"knownGene.uc001fyn.1.1",-1504.079,-1504.079,-1508.438,-1504.079,0,1,1
"knownGene.uc001fyo.1.1",-1094.242,-1094.242,-1109.115,-1094.413,0,1,1
"knownGene.uc001fyy.1.1",-572.044,-572.044,-572.044,-571.969,0.149999999999864,0.349267679151735,1
"knownGene.uc001gbg.1.1.inc",-1849.807,-1849.807,-1849.634,-1849.634,0.346000000000004,0.27819310701316,1
"knownGene.uc001gca.1.1",-658.979,-658.979,-660.765,-660.765,0,1,1
"knownGene.uc001gdv.1.1",-1327.396,-1327.396,-1330.819,-1330.819,0,1,1
"knownGene.uc001gef.1.1",-4808.885,-4808.885,-4838.46,-4838.46,0,1,1
"knownGene.uc001gfv.1.1.inc",-1627.288,-1627.288,-1634.082,-1634.082,0,1,1
"knownGene.uc001gga.1.1.inc",-3349.908,-3349.877,-3351.55,-3351.55,0.0619999999998981,0.401681167346118,1
"knownGene.uc001ggo.1.1",-1249.436,-1249.436,-1249.716,-1249.716,0,1,1
"knownGene.uc001ghr.1.1.inc",-3406.293,-3405.255,-3405.255,-3405.255,2.07600000000002,0.0748159209944401,0.805049606561096
"knownGene.uc001gid.1.1.inc",-2831.917,-2831.917,-2831.917,-2831.917,0,1,1
"knownGene.uc001giv.1.1.inc",-1141.341,-1135.917,-1135.917,-1135.917,10.848,0.000494512592715175,0.125431812719942
"knownGene.uc001gjr.1.1",-3182.301,-3181.941,-3182.301,-3181.941,0.720000000000255,0.198071954575995,1
"knownGene.uc001gkn.1.1",-817.243,-819.452,-818.212,-819.452,0,1,1
"knownGene.uc001gkq.1.1.inc",-1019.195,-1019.679,-1017.044,-1019.687,4.30200000000013,0.0190337902837464,0.469271231583295
"knownGene.uc001gll.1.1.inc",-4245.809,-4245.809,-4244.834,-4245.809,1.95000000000073,0.0812934253631383,0.830825755367287
"knownGene.uc001glw.1.1.inc",-1601.72,-1601.72,-1600.677,-1601.72,2.08600000000024,0.0743274240829964,0.803408066415755
"knownGene.uc001gme.1.1",-1601.832,-1601.832,-1606.541,-1601.832,0,1,1
"knownGene.uc001gom.1.1.inc",-2408.03,-2408.03,-2407.652,-2407.652,0.756000000000313,0.192291609285815,1
"knownGene.uc001gox.1.1.inc",-5388.359,-5416.144,-5388.289,-5388.289,0.140000000001237,0.354140506144687,1
"knownGene.uc001grb.1.1.inc",-2340.238,-2344.289,-2344.281,-2342.647,0,1,1
"knownGene.uc001grf.1.1",-5044.299,-5055.123,-5044.743,-5044.299,0,1,1
"knownGene.uc001gsi.1.1",-1505.084,-1509.393,-1505.084,-1505.084,0,1,1
"knownGene.uc001gss.1.1.inc",-1057.636,-1062.094,-1057.636,-1057.636,0,1,1
"knownGene.uc001gth.1.1.inc",-2746.083,-2755.577,-2746.083,-2746.083,0,1,1
"knownGene.uc001gub.1.1.inc",-6582.216,-6582.186,-6582.186,-6582.186,0.0600000000013097,0.403247970252635,1
"knownGene.uc001gvz.1.1.inc",-956.543,-956.543,-956.543,-956.543,0,1,1
"knownGene.uc001gwk.1.1.inc",-613.554,-613.338,-613.338,-613.338,0.432000000000016,0.255504603534238,1
"knownGene.uc001gwy.1.1.inc",-2889.493,-2889.493,-2889.493,-2889.493,0,1,1
"knownGene.uc001hat.1.1",-932.31,-932.31,-932.31,-932.393,0,1,1
"knownGene.uc001hax.1.1",-4986.058,-4986.058,-4986.058,-4986.058,0,1,1
"knownGene.uc001hbb.1.1",-2646.973,-2645.854,-2645.854,-2645.854,2.23800000000028,0.0673275243620565,0.773551398154568
"knownGene.uc001hbj.1.1",-7969.032,-7969.032,-7969.032,-7969.032,0,1,1
"knownGene.uc001hby.1.1.inc",-933.668,-933.668,-933.668,-933.668,0,1,1
"knownGene.uc001hdy.1.1.inc",-4680.622,-4680.634,-4680.622,-4680.634,0,1,1
"knownGene.uc001heg.1.1.inc",-784.885,-784.965,-784.965,-784.965,0,1,1
"knownGene.uc001hfc.1.1.inc",-3415.054,-3414.805,-3414.805,-3414.805,0.498000000000502,0.240190112717702,1
"knownGene.uc001hff.1.1.inc",-1606.841,-1606.841,-1606.841,-1606.841,0,1,1
"knownGene.uc001hia.1.1",-1306.077,-1306.077,-1306.077,-1306.077,0,1,1
"knownGene.uc001hix.1.1.inc",-4632.423,-4633.079,-4628.375,-4628.375,8.09599999999955,0.00221815274940052,0.202426089702742
"knownGene.uc001hjy.1.1",-2034.179,-2034.179,-2041.169,-2041.169,0,1,1
"knownGene.uc001hln.1.1",-2748.525,-2748.525,-2757.75,-2757.75,0,1,1
"knownGene.uc001hmh.1.1.inc",-1855.338,-1855.338,-1855.338,-1855.338,0,1,1
"knownGene.uc001hmo.1.1",-4387.538,-4387.538,-4387.538,-4387.538,0,1,1
"knownGene.uc001hra.1.1",-2152.284,-2152.284,-2152.284,-2152.284,0,1,1
"knownGene.uc001hrp.1.1.inc",-1950.522,-1950.522,-1950.522,-1953.189,0,1,1
"knownGene.uc001hsi.1.1.inc",-1306.924,-1305.7,-1305.7,-1305.7,2.44799999999987,0.0588373582496378,0.736699174104758
"knownGene.uc001hum.1.1.inc",-2232.528,-2232.528,-2232.528,-2232.528,0,1,1
"knownGene.uc001hut.1.1.inc",-1199.948,-1199.957,-1199.957,-1199.948,0,1,1
"knownGene.uc001hvf.1.1.inc",-4746.769,-4746.724,-4746.724,-4746.769,0.0900000000001455,0.382088577810955,1
"knownGene.uc001hvk.1.1.inc",-4805.708,-4805.56,-4806.649,-4805.56,0.295999999998457,0.293200498357251,1
"knownGene.uc001hwa.1.1",-2576.854,-2576.854,-2591.88,-2576.854,0,1,1
"knownGene.uc001hwb.1.1",-552.907,-552.907,-552.907,-552.907,0,1,1
"knownGene.uc001hxn.1.1.inc",-393.933,-393.583,-393.559,-393.588,0.747999999999934,0.193555091134588,1
"knownGene.uc001hxr.1.1",-913.617,-921.356,-921.356,-913.928,0,1,1
"knownGene.uc001hye.1.1",-832.504,-839.279,-839.279,-839.278,0,1,1
"knownGene.uc001hyh.1.1",-3535.226,-3535.226,-3535.226,-3561.69,0,1,1
"knownGene.uc001hzn.1.1",-3517.279,-3530.658,-3530.658,-3517.279,0,1,1
"knownGene.uc001hzv.1.1",-6276.47,-6299.944,-6276.447,-6277.908,0.0460000000002765,0.415087899083676,1
"knownGene.uc001hzx.1.1",-3672.31,-3672.245,-3672.245,-3672.245,0.130000000000109,0.359216019455113,1
"knownGene.uc001ibb.1.1",-1954.986,-1954.986,-1954.986,-1954.986,0,1,1
"knownGene.uc001ibj.1.1",-1637.899,-1637.899,-1637.899,-1637.899,0,1,1
"knownGene.uc001icq.1.1.inc",-950.327,-950.327,-950.327,-950.327,0,1,1
"knownGene.uc001icy.1.1",-2518.186,-2518.186,-2518.186,-2518.186,0,1,1
"knownGene.uc001idq.1.1.inc",-1822.981,-1822.184,-1822.184,-1822.184,1.59400000000005,0.103377787536711,0.904768449749475
"knownGene.uc001iez.1.1.inc",-1327.424,-1327.424,-1327.424,-1327.424,0,1,1
"knownGene.uc001ige.1.1.inc",-1260.492,-1260.492,-1260.492,-1260.492,0,1,1
"knownGene.uc001ija.1.1.inc",-917.05,-917.05,-917.05,-917.05,0,1,1
"knownGene.uc001ily.1.1",-4888.409,-4885.887,-4885.887,-4885.887,5.04399999999987,0.0123556834159112,0.397961170224264
"knownGene.uc001imn.1.1",-730.827,-730.827,-730.827,-730.946,0,1,1
"knownGene.uc001ind.1.1",-2646.037,-2644.983,-2644.983,-2644.983,2.10799999999927,0.0732653579921756,0.801652291285596
"knownGene.uc001ipp.1.1",-5312.241,-5311.454,-5311.454,-5311.454,1.57400000000052,0.104813533174891,0.911099880082516
"knownGene.uc001ira.1.1",-3744.169,-3760.871,-3760.871,-3760.871,0,1,1
"knownGene.uc001irn.1.1.inc",-592.557,-593.378,-593.378,-593.378,0,1,1
"knownGene.uc001isc.1.1.inc",-5152.128,-5152.128,-5152.128,-5152.128,0,1,1
"knownGene.uc001isk.1.1.inc",-3843.193,-3842.379,-3842.379,-3842.379,1.62800000000061,0.100989949976289,0.901184572270881
"knownGene.uc001ism.1.1.inc",-1391.246,-1391.246,-1391.246,-1391.246,0,1,1
"knownGene.uc001iuy.1.1",-1002.22,-1002.094,-1002.094,-1002.094,0.251999999999953,0.307835161742458,1
"knownGene.uc001ivr.1.1",-6436.3,-6436.3,-6436.3,-6436.3,0,1,1
"knownGene.uc001ixo.1.1",-4879.487,-4879.407,-4879.407,-4879.407,0.159999999999854,0.344578258389743,1
"knownGene.uc001izf.1.1.inc",-2625.45,-2625.343,-2625.45,-2625.343,0.213999999999942,0.321825073898703,1
"knownGene.uc001jao.1.1",-3257.857,-3257.857,-3265.932,-3257.954,0,1,1
"knownGene.uc001jbn.1.1",-2163.212,-2163.212,-2163.212,-2163.212,0,1,1
"knownGene.uc001jcl.1.1",-1944.643,-1944.643,-1944.643,-1945.356,0,1,1
"knownGene.uc001jeb.1.1",-2471.717,-2471.717,-2471.717,-2471.717,0,1,1
"knownGene.uc001jgy.1.1.inc",-4282.135,-4282.135,-4282.135,-4282.135,0,1,1
"knownGene.uc001jig.1.1.inc",-2534.356,-2534.356,-2534.356,-2534.356,0,1,1
"knownGene.uc001jjk.1.1",-763.994,-763.994,-763.994,-763.994,0,1,1
"knownGene.uc001jjv.1.1",-6327.336,-6327.336,-6327.336,-6327.336,0,1,1
"knownGene.uc001jlc.1.1.inc",-2894.435,-2894.435,-2894.435,-2894.435,0,1,1
"knownGene.uc001jlu.1.1.inc",-1143.385,-1143.385,-1143.385,-1143.385,0,1,1
"knownGene.uc001jlv.1.1",-2357.246,-2357.207,-2357.207,-2357.207,0.0780000000004293,0.390013134777269,1
"knownGene.uc001jmx.1.1.inc",-2992.048,-2991.988,-2991.988,-2991.988,0.119999999999891,0.364517244769461,1
"knownGene.uc001jne.1.1",-2990.349,-2990.349,-2990.349,-2990.349,0,1,1
"knownGene.uc001jnl.1.1.inc",-3885.582,-3885.582,-3885.582,-3885.582,0,1,1
"knownGene.uc001jom.1.1.inc",-2962.468,-2962.468,-2962.468,-2962.468,0,1,1
"knownGene.uc001jpn.1.1.inc",-2134.111,-2134.111,-2134.111,-2134.111,0,1,1
"knownGene.uc001jqk.1.1.inc",-1804.61,-1804.61,-1804.61,-1804.61,0,1,1
"knownGene.uc001jre.1.1",-1191.061,-1190.958,-1190.958,-1190.958,0.205999999999676,0.324960396513364,1
"knownGene.uc001jru.1.1.inc",-2172.898,-2172.898,-2172.898,-2172.898,0,1,1
"knownGene.uc001jsg.1.1",-7476.593,-7476.593,-7476.593,-7476.593,0,1,1
"knownGene.uc001jtd.1.1.inc",-1535.551,-1535.551,-1535.551,-1535.551,0,1,1
"knownGene.uc001jtq.1.1.inc",-2720.974,-2720.974,-2720.974,-2720.974,0,1,1
"knownGene.uc001juc.1.1",-3195.719,-3195.689,-3195.689,-3195.689,0.0600000000004002,0.403247970253354,1
"knownGene.uc001juf.1.1.inc",-1968.664,-1968.664,-1968.664,-1968.664,0,1,1
"knownGene.uc001jut.1.1",-7470.299,-7467.665,-7470.299,-7467.665,5.26800000000003,0.0108604772111558,0.375183438946227
"knownGene.uc001jzl.1.1.inc",-5404.829,-5404.966,-5404.829,-5404.966,0,1,1
"knownGene.uc001kbm.1.1.inc",-749.211,-749.225,-749.211,-749.225,0,1,1
"knownGene.uc001kcr.1.1",-2408.253,-2408.253,-2408.253,-2408.253,0,1,1
"knownGene.uc001kgt.1.1.inc",-7193.24,-7193.24,-7193.24,-7193.24,0,1,1
"knownGene.uc001khn.1.1",-2500.314,-2500.314,-2500.314,-2500.314,0,1,1
"knownGene.uc001khs.1.1.inc",-3088.307,-3088.307,-3088.307,-3088.307,0,1,1
"knownGene.uc001khu.1.1.inc",-3303.079,-3303.079,-3303.079,-3303.079,0,1,1
"knownGene.uc001khz.1.1",-2885.735,-2885.735,-2885.735,-2885.735,0,1,1
"knownGene.uc001kjp.1.1",-4755.927,-4755.927,-4755.029,-4755.927,1.79599999999846,0.0900984142928963,0.86854796313704
"knownGene.uc001kkx.1.1.inc",-1551.974,-1551.974,-1551.974,-1551.974,0,1,1
"knownGene.uc001kld.1.1.inc",-3221.339,-3221.339,-3221.426,-3221.339,0,1,1
"knownGene.uc001kly.1.1.inc",-2657.928,-2657.928,-2661.831,-2657.928,0,1,1
"knownGene.uc001kne.1.1.inc",-1799.827,-1799.827,-1799.827,-1799.827,0,1,1
"knownGene.uc001kpq.1.1",-895.765,-895.765,-895.765,-895.765,0,1,1
"knownGene.uc001kpx.1.1.inc",-1718.877,-1718.877,-1718.877,-1718.877,0,1,1
"knownGene.uc001kqh.1.1.inc",-8583.728,-8583.729,-8583.728,-8583.728,0,1,1
"knownGene.uc001kqo.1.1",-2128.43,-2128.426,-2128.426,-2128.426,0.00799999999981083,0.464365037282821,1
"knownGene.uc001krf.1.1.inc",-4158.029,-4158.029,-4158.029,-4158.029,0,1,1
"knownGene.uc001ksc.1.1.inc",-1001.4,-1001.4,-1001.4,-1001.4,0,1,1
