"","transcriptid","loglikelihoodratio","lnlNull","muNull","p0Null","p1Null","lnlAlt","muAlt","omega0Alt","omega2Alt","p0Alt","p1Alt","p2Alt","pval","isfdrsignificant"
"knownGene.uc001dda.1.1","knownGene.uc001dda.1.1",0,-608.659816,0.8702277,1,1.08263e-11,-608.659816,0.8702277,0.8728688,1,0.9999989,1.082628e-11,-1,1,0
"knownGene.uc001ddt.1.1","knownGene.uc001ddt.1.1",0.633382,-2069.876295,9.102571,0.649238,0.350762,-2069.242913,9.03613,0.2456996,12.12099,0.6540153,0.3280219,-1,0.130187315117304,0
"knownGene.uc001deg.1.1","knownGene.uc001deg.1.1",0.011238,-2891.296597,8.912933,0.978331,0.0216688,-2891.285359,8.923862,0.01837563,1,0.9796204,0.0203672,-1,0.440413874585699,0
"knownGene.uc001dem.1.1.inc","knownGene.uc001dem.1.1.inc",0.099028,-4776.857265,6.181642,0.732118,0.267882,-4776.758237,6.135721,0.1338443,23.76962,0.7314221,0.2629563,-1,0.328147291842661,0
"knownGene.uc001deq.1.1","knownGene.uc001deq.1.1",0,-4797.942896,8.974725,0.969419,0.0305809,-4797.942896,8.974725,0.02984374,1,0.8924552,0.02815302,-1,1,0
"knownGene.uc001dev.1.1.inc","knownGene.uc001dev.1.1.inc",0,-1527.879212,8.960641,0.970785,0.0292152,-1527.879212,8.960641,0.00710221,1,0.9707754,0.02921496,-1,1,0
"knownGene.uc001dfy.1.1.inc","knownGene.uc001dfy.1.1.inc",1.608434,-1925.408233,9.510556,0.225426,0.774574,-1923.799799,9.094049,1e-05,10.17254,0.2007851,0.7354346,-1,0.0364414785450035,0
"knownGene.uc001dga.1.1.inc","knownGene.uc001dga.1.1.inc",0.003648,-1226.955962,10.57425,0.879111,0.120889,-1226.952314,10.53707,0.06120794,1,0.8749031,0.1250849,-1,0.465965087908961,0
"knownGene.uc001dhg.1.1.inc","knownGene.uc001dhg.1.1.inc",1e-06,-1297.68713,12.31188,0.931196,0.0688044,-1297.687129,12.31056,0.05432956,1,0.931192,0.0688041,-1,0.499435810604515,0
"knownGene.uc001dhy.1.1.inc","knownGene.uc001dhy.1.1.inc",0,-965.701094,8.193086,0.926224,0.0737756,-965.701094,8.193086,0.1714503,1,0.9262147,0.07377486,-1,1,0
"knownGene.uc001dib.1.1.inc","knownGene.uc001dib.1.1.inc",0,-2097.855111,7.310472,0.827537,0.172463,-2097.855111,7.310472,0.07379983,1,0.827533,0.1724625,-1,1,0
"knownGene.uc001dis.1.1","knownGene.uc001dis.1.1",0,-2542.456311,9.226232,1,8.59413e-11,-2542.456311,9.226232,0.0516017,1,0.9999914,8.594052e-11,-1,1,0
"knownGene.uc001dkc.1.1.inc","knownGene.uc001dkc.1.1.inc",0.000949,-1899.683815,10.3289,0.877782,0.122218,-1899.682865,10.3356,0.1419528,1,0.8786762,0.1213183,-1,0.482625160342356,0
"knownGene.uc001dkk.1.1.inc","knownGene.uc001dkk.1.1.inc",0,-2799.49895,11.96976,1,1e-11,-2799.49895,11.96976,0.05065387,1,0.999999,9.99999e-12,-1,1,0
"knownGene.uc001dku.1.1.inc","knownGene.uc001dku.1.1.inc",0,-5643.122038,13.62379,0.898708,0.101292,-5643.122037,13.62322,0.1759808,1,0.8987035,0.1012911,-1,1,0
"knownGene.uc001dly.1.1.inc","knownGene.uc001dly.1.1.inc",0,-2061.310875,7.453189,0.897106,0.102895,-2061.310875,7.453189,0.01766362,1,0.8970898,0.1028927,-1,1,0
"knownGene.uc001doj.1.1","knownGene.uc001doj.1.1",0,-6642.059502,9.133476,0.939944,0.0600559,-6642.059502,9.133476,0.1251156,1,0.855915,0.05468701,-1,1,0
"knownGene.uc001dpg.1.1.inc","knownGene.uc001dpg.1.1.inc",0.000448,-2081.792596,8.53817,1,8.61496e-11,-2081.792148,8.538624,0.027462,1,0.999999,9.99999e-12,-1,0.48806014040277,0
"knownGene.uc001dpr.1.1.inc","knownGene.uc001dpr.1.1.inc",0.000262,-1183.820267,4.537267,0.789256,0.210744,-1183.820005,4.542311,0.08708137,1,0.7910643,0.20893,-1,0.490868591277805,0
"knownGene.uc001drn.1.1","knownGene.uc001drn.1.1",0,-2910.816579,5.384549,1,1.74647e-11,-2910.816579,5.384549,0.003426371,1,0.9999983,1.746467e-11,-1,1,0
"knownGene.uc001drw.1.1.inc","knownGene.uc001drw.1.1.inc",0,-951.190834,8.994444,0.920104,0.0798957,-951.190834,8.994444,0.03530473,1,0.920103,0.07989562,-1,1,0
"knownGene.uc001duf.1.1","knownGene.uc001duf.1.1",0.292212,-2835.972768,7.227389,0.983976,0.0160235,-2835.680556,7.285478,0.003785209,1,0.9851311,0.009296707,-1,0.222291730011265,0
"knownGene.uc001dvl.1.1.inc","knownGene.uc001dvl.1.1.inc",0.8353,-2220.029379,7.468069,0.975625,0.0243748,-2219.194079,7.432995,0.02677615,8.624486,0.9689443,0.02369014,-1,0.0980890943436763,0
"knownGene.uc001dwl.1.1.inc","knownGene.uc001dwl.1.1.inc",0,-1981.721394,9.02489,1,4.58853e-11,-1981.721394,9.02489,0.003460977,1,0.9999954,4.58851e-11,-1,1,0
"knownGene.uc001dxq.1.1.inc","knownGene.uc001dxq.1.1.inc",0.00043,-771.738199,6.229594,0.942919,0.0570809,-771.737768,6.231371,0.0219514,1,0.9432115,0.05678574,-1,0.48830239246971,0
"knownGene.uc001dyy.1.1","knownGene.uc001dyy.1.1",0,-2656.686517,4.871207,1,1e-11,-2656.686517,4.871207,1e-05,1,0.999999,9.99999e-12,-1,1,0
"knownGene.uc001dyz.1.1.inc","knownGene.uc001dyz.1.1.inc",0,-3557.528813,7.120292,1,9.12091e-09,-3557.528813,7.120295,0.01208469,1,0.9990887,9.112689e-09,-1,1,0
"knownGene.uc001dzk.1.1","knownGene.uc001dzk.1.1",0,-5795.066304,6.303023,0.969861,0.0301393,-5795.066304,6.302999,0.04494938,1,0.9698585,0.03013923,-1,1,0
"knownGene.uc001dzp.1.1.inc","knownGene.uc001dzp.1.1.inc",1.188221,-1748.472132,6.103306,0.865383,0.134617,-1747.28391,6.082197,0.08020711,12.49322,0.8604357,0.1267453,-1,0.0615889050113566,0
"knownGene.uc001eag.1.1.inc","knownGene.uc001eag.1.1.inc",0,-830.428413,6.467306,1,6.31955e-08,-830.428413,6.467304,0.04657546,1,0.9937203,6.279647e-08,-1,1,0
"knownGene.uc001ebu.1.1","knownGene.uc001ebu.1.1",0,-3873.260934,7.832891,1,3.43286e-11,-3873.260934,7.832891,0.005826297,1,0.9999966,3.432852e-11,-1,1,0
"knownGene.uc001efi.1.1","knownGene.uc001efi.1.1",0,-4577.111253,4.460272,0.994434,0.00556578,-4577.111253,4.460272,0.02895066,1,0.9944279,0.005565743,-1,1,0
"knownGene.uc001egh.1.1","knownGene.uc001egh.1.1",0,-1002.37468,7.057376,0.975547,0.0244532,-1002.37468,7.057376,0.008372965,1,0.9755419,0.02445305,-1,1,0
"knownGene.uc001egs.1.1.inc","knownGene.uc001egs.1.1.inc",0.000906,-3528.999168,10.72441,0.984206,0.0157944,-3528.998262,10.72316,0.02373965,1,0.9841309,0.01586422,-1,0.483023114428876,0
"knownGene.uc001eie.1.1","knownGene.uc001eie.1.1",0,-3021.735355,9.731795,0.952359,0.0476415,-3021.735355,9.731795,0.05854545,1,0.9523494,0.047641,-1,1,0
"knownGene.uc001esi.1.1","knownGene.uc001esi.1.1",0.000292,-747.572357,11.64468,1,1.72472e-10,-747.572066,11.64498,0.005831854,1,0.9999873,1.27494e-10,-1,0.490360062466582,0
"knownGene.uc001eto.1.1.inc","knownGene.uc001eto.1.1.inc",0.000149,-1023.641935,6.06133,0.846727,0.153273,-1023.641786,6.055292,0.09986347,1,0.8451955,0.1548005,-1,0.49311353050029,0
"knownGene.uc001evu.1.1","knownGene.uc001evu.1.1",0.556036,-8757.707091,8.195086,0.955693,0.0443068,-8757.151055,8.193959,0.052499,12.47757,0.9562602,0.04231941,-1,0.145815992432102,0
"knownGene.uc001ewj.1.1.inc","knownGene.uc001ewj.1.1.inc",0,-985.490675,6.248926,0.754347,0.245653,-985.490675,6.248926,0.1047637,1,0.7378493,0.240281,-1,1,0
"knownGene.uc001ewt.1.1","knownGene.uc001ewt.1.1",0,-1248.443475,6.468975,0.966271,0.033729,-1248.443475,6.468973,0.1911238,1,0.9364394,0.03268778,-1,1,0
"knownGene.uc001ewv.1.1.inc","knownGene.uc001ewv.1.1.inc",0.000201,-5813.211299,6.576931,0.915226,0.0847737,-5813.211098,6.578245,0.1026373,1,0.9156658,0.08432476,-1,0.492001768034835,0
"knownGene.uc001exb.1.1","knownGene.uc001exb.1.1",0,-1085.829878,8.598462,0.98978,0.0102195,-1085.829878,8.598462,0.01395496,1,0.9810869,0.01012976,-1,1,0
"knownGene.uc001ext.1.1","knownGene.uc001ext.1.1",0,-4904.208454,6.061707,0.966801,0.0331985,-4904.208454,6.061707,0.01482963,1,0.9667981,0.03319842,-1,1,0
"knownGene.uc001ezd.1.1","knownGene.uc001ezd.1.1",0,-3737.009245,6.68903,0.909753,0.0902465,-3737.009245,6.68903,0.03979122,1,0.7963603,0.07899808,-1,1,0
"knownGene.uc001fcn.1.1","knownGene.uc001fcn.1.1",0,-1253.292473,2.092061,1,2.8908e-07,-1253.292473,2.09206,0.05731879,1,0.9719041,2.809564e-07,-1,1,0
"knownGene.uc001fiy.1.1","knownGene.uc001fiy.1.1",0.000222,-2974.965096,8.200896,1,1.10216e-10,-2974.964874,8.200824,0.01145258,1,0.9999957,4.288964e-11,-1,0.491594386552631,0
"knownGene.uc001fkm.1.1.inc","knownGene.uc001fkm.1.1.inc",0,-2275.320501,9.316652,0.720464,0.279536,-2275.320501,9.316652,0.1058961,1,0.7204452,0.2795293,-1,1,0
"knownGene.uc001fqg.1.1","knownGene.uc001fqg.1.1",0,-9722.539996,8.752895,0.945377,0.0546234,-9722.539996,8.752895,0.06270306,1,0.9453654,0.05462277,-1,1,0
"knownGene.uc001fqp.1.1.inc","knownGene.uc001fqp.1.1.inc",0,-944.102372,8.45631,0.95596,0.0440395,-944.102372,8.45631,0.03028592,1,0.9559554,0.04403926,-1,1,0
